START DATE,END DATE,SUBJECT,START TIME (PT),START TIME (MT),START TIME (CT),START TIME (ET),END TIME (PT),END TIME (MT),END TIME (CT),END TIME (ET),SHOW TIME AS,DESCRIPTION,,,,AWAY,HOM E
1/20/2013,1/20/2013,NBA: Lakers @ Raptors     ,10:00 AM,11:00 AM,12:00 PM,1:00 PM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,FREE,www.MySportsCal.com,Lakers @ Raptors,LA Lakers at Toronto,,Lakers , Raptors
3/17/2013,3/17/2013,NBA: Magic @ Bucks     ,10:00 AM,11:00 AM,12:00 PM,1:00 PM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,FREE,www.MySportsCal.com,Magic @ Bucks,Orlando at Milwaukee,,Magic , Bucks
11/18/2012,11/18/2012,NBA: Magic @ Raptors     ,10:00 AM,11:00 AM,12:00 PM,1:00 PM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,FREE,www.MySportsCal.com,Magic @ Raptors,Orlando at Toronto,,Magic , Raptors
3/17/2013,3/17/2013,NBA: Heat @ Raptors     ,10:00 AM,11:00 AM,12:00 PM,1:00 PM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,FREE,www.MySportsCal.com,Heat @ Raptors,Miami at Toronto,,Heat , Raptors
11/25/2012,11/25/2012,NBA: Pistons @ Knicks     ,10:00 AM,11:00 AM,12:00 PM,1:00 PM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,FREE,www.MySportsCal.com,Pistons @ Knicks,Detroit at New York,,Pistons , Knicks
12/16/2012,12/16/2012,NBA: Rockets @ Raptors     ,10:00 AM,11:00 AM,12:00 PM,1:00 PM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,FREE,www.MySportsCal.com,Rockets @ Raptors,Houston at Toronto,,Rockets , Raptors
11/25/2012,11/25/2012,NBA: Spurs @ Raptors     ,10:00 AM,11:00 AM,12:00 PM,1:00 PM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,FREE,www.MySportsCal.com,Spurs @ Raptors,San Antonio at Toronto,,Spurs , Raptors
1/6/2013,1/6/2013,NBA: Thunder @ Raptors     ,10:00 AM,11:00 AM,12:00 PM,1:00 PM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,FREE,www.MySportsCal.com,Thunder @ Raptors,Oklahoma City at Toronto,,Thunder , Raptors
10/7/2012,10/7/2012,NBA: Wizards @ Bobcats     ,10:00 AM,11:00 AM,12:00 PM,1:00 PM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,FREE,www.MySportsCal.com,Wizards @ Bobcats,Washington at Charlotte,,Wizards , Bobcats
10/5/2012,10/5/2012,NBA: Celtics @ Fenerbahce Ulker     [NBATV],11:00 AM,12:00 PM,1:00 PM,2:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,FREE,www.MySportsCal.com,Celtics @ Fenerbahce Ulker,Boston at Fenerbahce Ulker,[NBATV],Celtics , Fenerbahce Ulker
10/6/2012,10/6/2012,NBA: Mavericks @ Alba Berlin     [NBATV],11:00 AM,12:00 PM,1:00 PM,2:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,FREE,www.MySportsCal.com,Mavericks @ Alba Berlin,Dallas at Alba Berlin,[NBATV],Mavericks , Alba Berlin
3/30/2013,3/30/2013,NBA: Bulls @ Mavericks     ,11:00 AM,12:00 PM,1:00 PM,2:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,FREE,www.MySportsCal.com,Bulls @ Mavericks,Chicago at Dallas,,Bulls , Mavericks
